"","X","Y","Symbol"
"Marcks","13.237998","-1.004153e-01","Marcks"
"Marcks","12.554140","-3.666218e-01","Marcks"
"Marcks","13.005899","-1.610140e-01","Marcks"
"Map2k2","11.444047","-2.852162e-02","Map2k2"
"Carhsp1","10.285855","-3.859821e-01","Carhsp1"
"Carhsp1"," 9.738730"," 7.034802e-02","Carhsp1"
"Isyna1","10.358312","-3.231674e-01","Isyna1"
"Tubb3"," 6.661817","-1.880358e-01","Tubb3"
"Rpl7","14.119337","-1.468630e-02","Rpl7"
"Atp5g2","12.433332"," 1.226375e-01","Atp5g2"
"Herpud2"," 9.406695"," 2.463089e-02","Herpud2"
"Herpud2"," 8.378471","-6.203079e-02","Herpud2"
"Lcp1"," 8.278290"," 1.227207e-01","Lcp1"
"Acadm"," 9.916268"," 1.485069e-01","Acadm"
"Sf3b3","11.487961","-7.071413e-01","Sf3b3"
"Clcn4-2"," 9.342125","-1.401999e-01","Clcn4-2"
"Hdlbp","10.168009","-2.262902e-01","Hdlbp"
"Hdlbp"," 9.872477","-1.705797e-02","Hdlbp"
"Vcam1"," 7.986096"," 1.632048e-01","Vcam1"
"Vdac2","12.998070"," 1.050617e-01","Vdac2"
"Klhdc3","11.889439"," 1.214236e-01","Klhdc3"
"Pigo"," 7.663061","-1.160402e-01","Pigo"
"Sqle","11.386778","-1.077558e-01","Sqle"
"Cyp2e1"," 5.085425","-3.406157e-02","Cyp2e1"
"Casp6","10.791221"," 3.581338e-01","Casp6"
"Txnip"," 8.843898"," 3.328928e-01","Txnip"
"Txnip"," 7.511877"," 1.776148e-01","Txnip"
"Vdac1","12.415825","-1.962290e-01","Vdac1"
"Hey1"," 8.793046"," 2.431187e-02","Hey1"
"NA","13.401320","-1.166273e-02","NA"
"Cotl1"," 9.975460"," 1.989503e-01","Cotl1"
"Cotl1"," 9.609076"," 2.563652e-01","Cotl1"
"Cldn11"," 6.357977"," 8.703909e-01","Cldn11"
"Ywhah","11.839688","-7.478630e-02","Ywhah"
"Psmc1","11.608047"," 9.548653e-02","Psmc1"
"Mdk","13.126044"," 1.642256e-01","Mdk"
"Satb1"," 9.558274","-1.460727e-02","Satb1"
"Satb1"," 9.925197"," 1.547856e-01","Satb1"
"Tspan3","11.848523","-7.740901e-02","Tspan3"
"Ehd1","10.526807"," 2.455012e-01","Ehd1"
"Ehd1"," 9.596235"," 1.596878e-02","Ehd1"
"Ehd1"," 7.504011","-3.346680e-02","Ehd1"
"Pld3"," 8.459080","-6.432599e-02","Pld3"
"Abce1","10.646094","-2.974316e-01","Abce1"
"Abce1","11.654216","-2.240159e-01","Abce1"
"NA"," 6.510368"," 3.643848e-02","NA"
"Copg1"," 8.825596","-1.984631e-01","Copg1"
"Dr1","10.510743","-3.981634e-01","Dr1"
"Dr1"," 7.814318"," 4.053440e-01","Dr1"
"Atp5g1","12.118167","-3.918919e-02","Atp5g1"
"Fabp5","13.640702","-1.027583e-01","Fabp5"
"Fabp5","12.599221","-9.760845e-02","Fabp5"
"Fabp3"," 7.484971","-1.331333e+00","Fabp3"
"Cct3","13.218758","-6.212179e-02","Cct3"
"Fgg"," 4.533430","-1.444708e-01","Fgg"
"NA","13.834571"," 5.067037e-03","NA"
"Pdcd6","11.182009"," 3.751135e-02","Pdcd6"
"Hn1","11.627900"," 3.954809e-02","Hn1"
"Klf10"," 8.669096","-8.546990e-02","Klf10"
"Mcm7","12.103232","-2.584906e-01","Mcm7"
"Mcm7","12.054564","-2.167109e-01","Mcm7"
"Tmem109"," 8.788653","-4.600289e-02","Tmem109"
"Tmem109"," 5.900568"," 2.420412e-01","Tmem109"
"Cd24a","13.027789"," 3.295202e-01","Cd24a"
"Hif1a","10.112380","-2.538397e-01","Hif1a"
"Fkbp1a","11.931909"," 1.682702e-01","Fkbp1a"
"Cct2","13.479545","-3.598846e-02","Cct2"
"Snd1"," 9.978722","-4.833315e-01","Snd1"
"Cyr61"," 8.473619"," 1.234261e-01","Cyr61"
"Lipf"," 3.996865","-5.053770e-02","Lipf"
"Sgk1"," 9.575756","-1.548521e-01","Sgk1"
"Nasp","12.570020"," 1.112647e-01","Nasp"
"Nasp"," 9.863496"," 7.331965e-01","Nasp"
"Flii","10.188548","-2.574809e-01","Flii"
"Smarcb1","11.441606","-2.950440e-02","Smarcb1"
"Fuca2"," 7.902207"," 8.425578e-01","Fuca2"
"Fuca2"," 4.149987"," 1.379531e-01","Fuca2"
"Phc2","10.859208"," 1.151156e-01","Phc2"
"Gldc"," 7.040089","-4.752213e-01","Gldc"
"Scarb1"," 7.932982","-1.803128e-01","Scarb1"
"C2"," 5.654067","-6.243392e-02","C2"
"Prps1","11.117467","-3.368315e-01","Prps1"
"Lrrn1"," 9.100173","-7.417304e-01","Lrrn1"
"Rps5","14.237700"," 8.085305e-03","Rps5"
"NA"," 3.322197"," 1.104459e-01","NA"
"Ndufb11","12.720040"," 1.426904e-01","Ndufb11"
"Ndufb11","12.323918"," 1.102480e-01","Ndufb11"
"Atp5c1","13.253973"," 8.896291e-02","Atp5c1"
"Sec23b","10.971685","-1.684011e-01","Sec23b"
"Tbc1d15","10.815768"," 2.331048e-02","Tbc1d15"
"Tbc1d15"," 9.547862"," 1.512728e-01","Tbc1d15"
"Tbc1d15"," 7.879417"," 3.497305e-01","Tbc1d15"
"Ceacam11"," 3.096829","-6.206905e-02","Ceacam11"
"Hspa5","13.552607"," 1.251217e-01","Hspa5"
"Ankrd10","10.750450","-2.565121e-01","Ankrd10"
"Cd9"," 8.861896"," 1.506755e-01","Cd9"
"Ifrd1"," 9.583919","-3.219209e-02","Ifrd1"
"Kars","12.094837","-1.941728e-01","Kars"
"Pfkp"," 7.497505","-6.314041e-02","Pfkp"
"Ddx18","10.640479","-2.595617e-02","Ddx18"
"Ddx18","11.177885"," 1.279101e-02","Ddx18"
"Cd34"," 9.378906"," 1.361430e-01","Cd34"
"NA","10.816854","-4.930056e-02","NA"
"NA","14.259597","-8.550272e-02","NA"
"Sav1"," 8.016387"," 1.495543e-01","Sav1"
"NA","10.987223"," 1.947196e-01","NA"
"Adm"," 5.578596","-7.187444e-03","Adm"
"Raf1","10.915549","-1.257186e-01","Raf1"
"Arpc1a","10.838699"," 4.818943e-02","Arpc1a"
"Adam15"," 6.089676","-1.159884e-01","Adam15"
"Smad1"," 8.873250","-2.196629e-01","Smad1"
"Rab1","12.648855","-1.955203e-02","Rab1"
"Zfand5","11.781920","-1.112455e-01","Zfand5"
"Zfand5"," 9.448476"," 3.093392e-01","Zfand5"
"Zfand5","11.597338"," 2.566345e-01","Zfand5"
"Tpst2"," 8.172439"," 1.195078e-01","Tpst2"
"Ap1s1","10.248537"," 7.834950e-02","Ap1s1"
"Rps15","13.731849"," 1.470512e-02","Rps15"
"Rps15","13.961300"," 2.563030e-02","Rps15"
"Pdhb","11.967840"," 1.349663e-01","Pdhb"
"Map4"," 8.905734","-1.172186e-01","Map4"
"Map4"," 9.939727","-6.170511e-02","Map4"
"Mrpl20","11.315459"," 1.080003e-01","Mrpl20"
"Adam9"," 9.576732"," 1.569829e-01","Adam9"
"Sarnp","11.983680"," 1.103863e-01","Sarnp"
"Vipas39"," 9.890677"," 5.361980e-02","Vipas39"
"Lrrc4"," 5.613076","-1.816997e-01","Lrrc4"
"Syngr3"," 6.349934"," 1.448216e-02","Syngr3"
"Rpl27","13.880589","-1.600568e-02","Rpl27"
"Eif3d","12.354818"," 2.107177e-02","Eif3d"
"Hist1h1c"," 8.811583"," 3.166267e-01","Hist1h1c"
"Ywhaz","12.452276","-1.881542e-01","Ywhaz"
"Ywhaz"," 9.792605","-2.766926e-01","Ywhaz"
"Mpdu1"," 9.831548"," 1.370892e-01","Mpdu1"
"Nnt","10.757673","-1.319574e-01","Nnt"
"Kti12","10.557834","-7.676571e-02","Kti12"
"Nsg2"," 6.629420"," 9.690647e-03","Nsg2"
"Tmed3","10.132466"," 1.357287e-01","Tmed3"
"Fuca1"," 9.608768"," 2.186773e-01","Fuca1"
"Slc35a4"," 9.276585","-3.837800e-01","Slc35a4"
"Cd83"," 5.542172","-8.236133e-02","Cd83"
"Cox8a","12.568794"," 5.052211e-02","Cox8a"
"Fkbp8"," 9.426445","-1.922089e-02","Fkbp8"
"Sparcl1"," 9.292680"," 8.623084e-01","Sparcl1"
"Orc3"," 9.980116"," 9.387552e-02","Orc3"
"Orc3"," 7.604833"," 1.202980e-01","Orc3"
"Orc3"," 6.843484"," 1.081539e-01","Orc3"
"Trim59","12.090170"," 4.056729e-02","Trim59"
"Txn1","13.431636"," 2.071065e-02","Txn1"
"Rrm2","12.253888"," 2.495021e-02","Rrm2"
"Lox"," 7.775995","-1.238365e+00","Lox"
"Ccnd2","12.906978","-3.528916e-01","Ccnd2"
"Ccnd2","10.709073","-4.104713e-01","Ccnd2"
"Ccnd2"," 9.480720","-3.046537e-01","Ccnd2"
"Fkbp5","10.910275","-3.139346e-01","Fkbp5"
"Polr1b"," 9.763385","-1.508759e-01","Polr1b"
"Dnpep","11.144963"," 2.567612e-01","Dnpep"
"NA"," 8.218447"," 9.290489e-02","NA"
"Errfi1"," 9.614128"," 2.553126e-01","Errfi1"
"Prnp"," 7.722927"," 2.927897e-01","Prnp"
"Efr3a"," 9.318559","-2.845487e-01","Efr3a"
"Efr3a"," 7.236747"," 4.335245e-01","Efr3a"
"Efr3a"," 8.685537","-3.034532e-01","Efr3a"
"Aplp1"," 6.666813","-1.477408e-01","Aplp1"
"Apex1","12.462007"," 3.086470e-02","Apex1"
"Mmp2","10.590430","-2.656615e-01","Mmp2"
"Anxa7"," 7.377663","-2.468307e-01","Anxa7"
"Anxa7"," 9.521444","-1.590640e-01","Anxa7"
"Reg2"," 5.688175","-6.712179e-02","Reg2"
"Dhx30","10.833909","-7.577505e-02","Dhx30"
"NA","14.488298"," 2.192203e-02","NA"
"Rps6","11.055584"," 4.829371e-02","Rps6"
"Atp5j","13.000839"," 4.562224e-02","Atp5j"
"Dhx15","12.994111","-2.996768e-02","Dhx15"
"Dhx15","12.997425","-6.088417e-02","Dhx15"
"Hspa4","12.400810"," 3.000447e-02","Hspa4"
"Hspa4","11.591430","-1.076853e-01","Hspa4"
"Laptm4b","10.553029","-9.464887e-02","Laptm4b"
"Olig1"," 4.770372"," 4.503624e-01","Olig1"
"Srsf3","13.086246","-1.476129e-01","Srsf3"
"Srsf3","11.370707","-2.219650e-01","Srsf3"
